iter	RMSE
0	768.7019762
1	768.6613456
2	768.6189137
3	768.5788856
4	768.5352682
5	768.497845
6	768.4641812
7	768.4318682
8	768.4004812
9	768.3590294
10	768.323142
11	768.2950473
12	768.2551501
13	768.21046
14	768.1734245
15	768.1401589
16	768.0946918
17	768.0520531
18	768.0104338
19	767.9714898
20	767.9374857
21	767.9111309
22	767.8755521
23	767.8390629
24	767.7969384
25	767.7586784
26	767.719187
27	767.6818869
28	767.6351731
29	767.5896656
30	767.5562961
31	767.5145669
32	767.4622593
33	767.4307302
34	767.39887
35	767.3602097
36	767.3347092
37	767.3025267
38	767.2678508
39	767.2259075
40	767.1908069
41	767.152954
42	767.127705
43	767.08991
44	767.0510031
45	767.0071688
46	766.9656611
47	766.9199329
48	766.8896772
49	766.8544784
50	766.8204174
51	766.7786328
52	766.7395207
53	766.7042912
54	766.6844543
55	766.6534672
56	766.6209053
57	766.5746607
58	766.5276044
59	766.4844348
60	766.4479585
61	766.4116571
62	766.363895
63	766.3368401
64	766.3053234
65	766.2628567
66	766.2327032
67	766.2058133
68	766.1655166
69	766.119311
70	766.0788404
71	766.0490417
72	766.0055404
73	765.9623061
74	765.9146854
75	765.8813238
76	765.8433015
77	765.799961
78	765.7544415
79	765.7254954
80	765.6784593
81	765.6478859
82	765.6022574
83	765.5611754
84	765.5267663
85	765.4908065
86	765.4595016
87	765.4349354
88	765.3990998
89	765.3629134
90	765.3354456
91	765.3022162
92	765.2704049
93	765.2349894
94	765.1949275
95	765.1548983
96	765.1192117
97	765.0878285
98	765.0501195
99	765.0247263
100	764.9807965
101	764.9509876
102	764.9091273
103	764.8775822
104	764.8510954
105	764.8117833
106	764.7798129
107	764.7415525
108	764.6990831
109	764.6749595
110	764.647875
111	764.6039725
112	764.5638613
113	764.5256051
114	764.4902691
115	764.450819
116	764.4197369
117	764.3857066
118	764.3556518
119	764.3220846
120	764.2793321
121	764.2424115
122	764.2024377
123	764.1628819
124	764.1295641
125	764.0924056
126	764.0517988
127	764.0140922
128	763.9734348
129	763.931003
130	763.8963975
131	763.8648995
132	763.8253079
133	763.7915217
134	763.7490671
135	763.7068266
136	763.6648668
137	763.6240614
138	763.5724899
139	763.5231528
140	763.4817807
141	763.4378752
142	763.3929076
143	763.358635
144	763.3351045
145	763.297276
146	763.254099
147	763.211302
148	763.171289
149	763.131253
150	763.1009092
151	763.06099
152	763.0151048
153	762.9723576
154	762.9388836
155	762.9041178
156	762.8543287
157	762.8170979
158	762.7728111
159	762.7278147
160	762.68826
161	762.6471048
162	762.6041817
163	762.5634742
164	762.5223293
165	762.4803016
166	762.4283277
167	762.3798027
168	762.3332155
169	762.2878725
170	762.242836
171	762.1977708
172	762.1476168
173	762.1030761
174	762.0566734
175	762.0083322
176	761.9608378
177	761.9149282
178	761.8737051
179	761.8258715
180	761.7770652
181	761.7228084
182	761.6704663
183	761.6233416
184	761.5738037
185	761.5304316
186	761.483299
187	761.43791
188	761.3903817
189	761.3360363
190	761.2857421
191	761.2347574
192	761.1840382
193	761.1360454
194	761.0863906
195	761.0359541
196	760.9812016
197	760.9279352
198	760.8743974
199	760.8270264
200	760.7755694
201	760.7239322
202	760.6715615
203	760.6190067
204	760.5702249
205	760.5170625
206	760.4640231
207	760.4113699
208	760.3588233
209	760.3067608
210	760.2518002
211	760.2015084
212	760.1483905
213	760.0918081
214	760.0380508
215	759.9854941
216	759.9298742
217	759.8782384
218	759.8228612
219	759.7673076
220	759.7144659
221	759.6612309
222	759.6084751
223	759.5528154
224	759.4970807
225	759.4412165
226	759.3871546
227	759.3328274
228	759.2768887
229	759.221214
230	759.1665194
231	759.1117121
232	759.0573952
233	759.0027231
234	758.9483352
235	758.8930523
236	758.8392481
237	758.7844887
238	758.7292858
239	758.6749178
240	758.6199141
241	758.5658232
242	758.5122656
243	758.4581533
244	758.4034188
245	758.3500146
246	758.2957375
247	758.2426064
248	758.1883565
249	758.1349255
250	758.0811136
251	758.0272981
252	757.9727571
253	757.9186563
254	757.8647267
255	757.8114424
256	757.7584642
257	757.7044864
258	757.6514369
259	757.5984959
260	757.5447542
261	757.4907716
262	757.4376188
263	757.3849586
264	757.3321671
265	757.2790017
266	757.2252883
267	757.1720731
268	757.1192643
269	757.0657663
270	757.0129406
271	756.9597825
272	756.9067268
273	756.8541922
274	756.8009
275	756.7483957
276	756.6958968
277	756.6429198
278	756.5905132
279	756.5382934
280	756.4862456
281	756.4336501
282	756.3815994
283	756.329152
284	756.2767145
285	756.2247995
286	756.1724382
287	756.120491
288	756.0686232
289	756.016701
290	755.9649894
291	755.91332
292	755.8616026
293	755.8094754
294	755.7578835
295	755.7059023
296	755.6543119
297	755.6026654
298	755.5513276
299	755.4998829
300	755.4484696
301	755.3972893
302	755.3458802
303	755.2946834
304	755.2434026
305	755.1923159
306	755.1405082
307	755.0893633
308	755.0380305
309	754.9871848
310	754.9363671
311	754.8853476
312	754.8344504
313	754.7829991
314	754.7319987
315	754.6810261
316	754.6301252
317	754.5794673
318	754.5285489
319	754.4779811
320	754.4268793
321	754.3763763
322	754.3255991
323	754.275072
324	754.2245521
325	754.1738388
326	754.1232055
327	754.0725763
328	754.0222806
329	753.9714065
330	753.9211954
331	753.8709664
332	753.8207127
333	753.7705782
334	753.7198935
335	753.6693171
336	753.619273
337	753.5687852
338	753.5186075
339	753.4682536
340	753.417837
341	753.3677551
342	753.317837
343	753.2675825
344	753.2174047
345	753.1675104
346	753.1177878
347	753.0679925
348	753.0179951
349	752.9683639
350	752.9186579
351	752.8684816
352	752.8186061
353	752.7687811
354	752.7192719
355	752.6697885
356	752.6203076
357	752.5707661
358	752.5210773
359	752.4713804
360	752.4220185
361	752.3720851
362	752.3227655
363	752.2734707
364	752.2236527
365	752.174355
366	752.1251328
367	752.0757002
368	752.0261757
369	751.9769627
370	751.9276136
371	751.8781503
372	751.8287483
373	751.7794083
374	751.7303843
375	751.6808126
376	751.6315354
377	751.5823385
378	751.5333742
379	751.4842885
380	751.4352721
381	751.3863273
382	751.3370672
383	751.2881685
384	751.2386151
385	751.1897361
386	751.1408446
387	751.0921629
388	751.0427197
389	750.9939293
390	750.9452859
391	750.8965199
392	750.8479347
393	750.7993727
394	750.7508418
395	750.7022125
396	750.6529564
397	750.6044892
398	750.5559315
399	750.506741
400	750.457631
401	750.4088986
402	750.3605058
403	750.3121562
404	750.2637075
405	750.2150149
406	750.1665995
407	750.1176768
408	750.0691249
409	750.0208713
410	749.9724808
411	749.9236341
412	749.8751758
413	749.8270694
414	749.7789669
415	749.7307771
416	749.6826442
417	749.6344872
418	749.5863565
419	749.538299
420	749.4903326
421	749.4420609
422	749.3935472
423	749.3453407
424	749.2973493
425	749.2494669
426	749.2016178
427	749.1532192
428	749.1054034
429	749.0573264
430	749.0092588
431	748.9615107
432	748.9132213
433	748.8654294
434	748.8177417
435	748.7699833
436	748.7223195
437	748.674663
438	748.6268017
439	748.5789833
440	748.5309653
441	748.4830089
442	748.435404
443	748.3877177
444	748.3398551
445	748.2918616
446	748.2443852
447	748.1967975
448	748.1493707
449	748.1019301
450	748.0540494
451	748.006242
452	747.9587114
453	747.9109238
454	747.8631988
455	747.8158686
456	747.7683731
457	747.7207268
458	747.6733352
459	747.6260877
460	747.578759
461	747.5315562
462	747.4838462
463	747.4364586
464	747.3889663
465	747.3417709
466	747.2944392
467	747.2473322
468	747.199901
469	747.1528388
470	747.1058179
471	747.0588056
472	747.0117397
473	746.9647622
474	746.91778
475	746.8708428
476	746.8236929
477	746.7764455
478	746.7295479
479	746.6823645
480	746.6355027
481	746.5885869
482	746.5414876
483	746.4941375
484	746.4468545
485	746.3997664
486	746.3530207
487	746.306025
488	746.2590281
489	746.2123311
490	746.1651184
491	746.1179708
492	746.071276
493	746.0246179
494	745.9776517
495	745.9305698
496	745.8835545
497	745.8365869
498	745.7900496
499	745.7430891
500	745.6965392
501	745.6498751
502	745.6030409
503	745.5565632
504	745.5101216
505	745.4633875
506	745.4166993
507	745.3700225
508	745.3233679
509	745.2770138
510	745.2304462
511	745.184104
512	745.1376797
513	745.091399
514	745.0449003
515	744.9985067
516	744.9520609
517	744.9056519
518	744.8592833
519	744.8129136
520	744.7663413
521	744.7200031
522	744.6736904
523	744.6271829
524	744.5810755
525	744.5349932
526	744.4889393
527	744.4428993
528	744.3968395
529	744.3506669
530	744.3045328
531	744.2583341
532	744.2115941
533	744.1656034
534	744.1196301
535	744.0735517
536	744.0275088
537	743.9816343
538	743.9357511
539	743.8894117
540	743.8433707
541	743.7967842
542	743.7502605
543	743.7044302
544	743.6586356
545	743.6127998
546	743.5668867
547	743.5204904
548	743.4747335
549	743.4283971
550	743.3824113
551	743.3364877
552	743.2907778
553	743.2447761
554	743.1985401
555	743.1523597
556	743.1067251
557	743.0606053
558	743.0147661
559	742.968858
560	742.9230321
561	742.8774512
562	742.8316677
563	742.7858209
564	742.740019
565	742.6944529
566	742.6489795
567	742.6032981
568	742.5578344
569	742.5122767
570	742.4666571
571	742.4205971
572	742.3746031
573	742.3292247
574	742.2837512
575	742.2381128
576	742.1927701
577	742.1474366
578	742.101842
579	742.0562596
580	742.0109666
581	741.9654078
582	741.9200514
583	741.8742852
584	741.829049
585	741.7833397
586	741.7380649
587	741.6928407
588	741.6476663
589	741.602508
590	741.5569028
591	741.5117103
592	741.4665521
593	741.4213096
594	741.3762232
595	741.3310808
596	741.2859891
597	741.2406141
598	741.1953278
599	741.1500713
600	741.105055
601	741.0596034
602	741.0144697
603	740.9692957
604	740.9243448
605	740.8789692
606	740.8338546
607	740.7889246
608	740.7439767
609	740.6990863
610	740.654212
611	740.6092961
612	740.5640774
613	740.5189049
614	740.4739594
615	740.4290264
616	740.383928
617	740.3385969
618	740.2937034
619	740.2488366
620	740.2039958
621	740.1589471
622	740.1142094
623	740.0694856
624	740.0245139
625	739.9798182
626	739.9351289
627	739.8902052
628	739.8453177
629	739.8004609
630	739.7554998
631	739.7108796
632	739.6662872
633	739.6216997
634	739.5768065
635	739.5321749
636	739.487324
637	739.4422397
638	739.3976165
639	739.3525721
640	739.307967
641	739.2632278
642	739.2187421
643	739.1742761
644	739.1298299
645	739.0853012
646	739.0406152
647	738.9961312
648	738.9517284
649	738.9067729
650	738.8618769
651	738.8174106
652	738.7725568
653	738.7279221
654	738.6831101
655	738.6383398
656	738.5936141
657	738.5491586
658	738.5047061
659	738.4602594
660	738.4159674
661	738.3716902
662	738.3272813
663	738.2830259
664	738.2386646
665	738.1940632
666	738.1497193
667	738.1051648
668	738.0608375
669	738.0165425
670	737.972012
671	737.9279113
672	737.8837692
673	737.8393014
674	737.7952349
675	737.7508188
676	737.706575
677	737.6624075
678	737.6180582
679	737.5740572
680	737.5298507
681	737.4854515
682	737.4414829
683	737.3971269
684	737.3527777
685	737.3087908
686	737.264692
687	737.2207747
688	737.1768169
689	737.1328814
690	737.0889648
691	737.0449238
692	737.0010211
693	736.9571331
694	736.9133016
695	736.8691129
696	736.8248932
697	736.7807223
698	736.7366051
699	736.6928099
700	736.6487415
701	736.6049843
702	736.561144
703	736.5171417
704	736.4728861
705	736.428912
706	736.3849588
707	736.341009
708	736.2968112
709	736.2528709
710	736.2089785
711	736.1647905
712	736.1210792
713	736.076938
714	736.0333249
715	735.9894665
716	735.9456377
717	735.9019704
718	735.8578872
719	735.8138525
720	735.7703061
721	735.7267161
722	735.6830951
723	735.6396079
724	735.5956652
725	735.5519931
726	735.5082003
727	735.4647403
728	735.4208473
729	735.3770999
730	735.333231
731	735.2897698
732	735.2463221
733	735.2026081
734	735.1592193
735	735.1154051
736	735.0716281
737	735.0282475
738	734.9849237
739	734.9412381
740	734.8975297
741	734.853865
742	734.8105459
743	734.7671172
744	734.723811
745	734.6803994
746	734.6371825
747	734.5936116
748	734.550097
749	734.5067936
750	734.4635405
751	734.4203561
752	734.3771816
753	734.3339308
754	734.2903083
755	734.2468783
756	734.2037625
757	734.1606547
758	734.1172955
759	734.074211
760	734.0308694
761	733.9877234
762	733.9441544
