iter	Passed	Remaining
0	8	8749
1	17	8605
2	25	8490
3	33	8452
4	43	8655
5	51	8570
6	59	8465
7	67	8391
8	75	8334
9	83	8265
10	91	8212
11	99	8184
12	108	8231
13	116	8208
14	124	8169
15	132	8132
16	140	8112
17	148	8125
18	157	8134
19	166	8135
20	174	8141
21	183	8157
22	192	8167
23	202	8246
24	210	8221
25	219	8212
26	230	8296
27	238	8283
28	247	8270
29	255	8245
30	263	8227
31	271	8224
32	280	8228
33	289	8237
34	300	8291
35	309	8280
36	317	8254
37	325	8230
38	333	8211
39	341	8188
40	350	8189
41	359	8190
42	367	8188
43	376	8175
44	384	8170
45	397	8236
46	406	8239
47	415	8237
48	423	8221
49	432	8212
50	440	8198
51	448	8178
52	456	8163
53	464	8144
54	472	8126
55	481	8108
56	491	8127
57	501	8147
58	510	8139
59	518	8125
60	527	8115
61	535	8099
62	543	8082
63	553	8091
64	562	8095
65	570	8079
66	579	8069
67	588	8059
68	598	8069
69	606	8063
70	615	8054
71	624	8049
72	633	8043
73	641	8031
74	650	8021
75	658	8011
76	667	7997
77	675	7979
78	682	7960
79	690	7941
80	698	7925
81	706	7909
82	714	7892
83	722	7874
84	729	7858
85	738	7843
86	745	7828
87	754	7820
88	763	7812
89	771	7801
90	779	7787
91	788	7778
92	796	7769
93	805	7763
94	814	7763
95	824	7765
96	833	7760
97	842	7755
98	850	7741
99	860	7744
100	869	7735
101	876	7720
102	884	7705
103	892	7689
104	900	7675
105	908	7661
106	916	7646
107	924	7631
108	931	7617
109	939	7602
110	947	7591
111	956	7581
112	964	7573
113	973	7569
114	982	7560
115	991	7552
116	999	7544
117	1013	7576
118	1023	7573
119	1031	7566
120	1040	7558
121	1049	7551
122	1058	7544
123	1066	7533
124	1074	7524
125	1083	7515
126	1091	7504
127	1100	7496
128	1109	7488
129	1117	7479
130	1125	7466
131	1133	7455
132	1141	7443
133	1149	7430
134	1158	7425
135	1167	7416
136	1175	7406
137	1184	7396
138	1192	7386
139	1200	7375
140	1211	7380
141	1220	7372
142	1228	7365
143	1238	7359
144	1246	7350
145	1255	7343
146	1264	7337
147	1272	7326
148	1280	7315
149	1289	7309
150	1299	7303
151	1308	7302
152	1317	7295
153	1326	7288
154	1334	7277
155	1343	7265
156	1351	7256
157	1361	7255
158	1369	7245
159	1378	7236
160	1387	7230
161	1396	7221
162	1404	7211
163	1414	7209
164	1423	7201
165	1432	7198
166	1441	7190
167	1449	7180
168	1458	7169
169	1466	7159
170	1476	7157
171	1484	7147
172	1492	7134
173	1500	7122
174	1509	7115
175	1519	7114
176	1528	7105
177	1537	7099
178	1545	7088
179	1554	7079
180	1562	7072
181	1572	7066
182	1583	7068
183	1591	7057
184	1599	7048
185	1608	7040
186	1617	7034
187	1628	7034
188	1637	7026
189	1646	7019
190	1654	7009
191	1663	7000
192	1671	6988
193	1679	6977
194	1688	6970
195	1696	6959
196	1704	6948
197	1715	6947
198	1724	6942
199	1732	6930
200	1740	6918
201	1748	6907
202	1756	6895
203	1764	6885
204	1773	6876
205	1781	6867
206	1790	6858
207	1798	6849
208	1807	6841
209	1818	6840
210	1826	6831
211	1836	6825
212	1844	6816
213	1853	6807
214	1861	6797
215	1870	6787
216	1878	6777
217	1886	6767
218	1894	6756
219	1902	6745
220	1910	6734
221	1918	6723
222	1926	6712
223	1934	6700
224	1941	6689
225	1949	6678
226	1958	6667
227	1971	6675
228	1980	6666
229	1989	6658
230	1998	6652
231	2008	6648
232	2020	6652
233	2030	6647
234	2039	6638
235	2051	6640
236	2062	6639
237	2071	6632
238	2080	6623
239	2088	6612
240	2096	6601
241	2104	6592
242	2112	6581
243	2120	6570
244	2128	6559
245	2136	6548
246	2144	6536
247	2152	6525
248	2160	6514
249	2168	6504
250	2182	6513
251	2191	6506
252	2200	6497
253	2208	6487
254	2217	6478
255	2228	6477
256	2237	6468
257	2245	6458
258	2255	6452
259	2263	6443
260	2272	6433
261	2280	6424
262	2289	6415
263	2297	6406
264	2306	6397
265	2315	6388
266	2325	6382
267	2333	6373
268	2342	6364
269	2350	6355
270	2358	6345
271	2366	6334
272	2374	6324
273	2383	6314
274	2392	6306
275	2400	6296
276	2408	6287
277	2417	6277
278	2425	6269
279	2434	6259
280	2444	6255
281	2455	6251
282	2464	6243
283	2472	6234
284	2481	6224
285	2489	6215
286	2498	6206
287	2506	6197
288	2515	6189
289	2525	6182
290	2533	6172
291	2541	6162
292	2549	6152
293	2557	6141
294	2567	6134
295	2575	6126
296	2585	6120
297	2594	6111
298	2603	6103
299	2611	6093
300	2619	6083
301	2628	6075
302	2638	6068
303	2650	6067
304	2659	6061
305	2669	6053
306	2678	6046
307	2687	6038
308	2696	6029
309	2704	6020
310	2712	6009
311	2720	5999
312	2728	5988
313	2736	5978
314	2744	5968
315	2752	5958
316	2760	5947
317	2768	5937
318	2776	5927
319	2784	5917
320	2795	5913
321	2804	5905
322	2812	5895
323	2821	5886
324	2830	5878
325	2840	5872
326	2849	5865
327	2858	5856
328	2866	5847
329	2875	5837
330	2884	5829
331	2893	5820
332	2901	5811
333	2909	5801
334	2917	5791
335	2925	5781
336	2933	5771
337	2941	5761
338	2949	5750
339	2957	5740
340	2965	5730
341	2973	5720
342	2981	5710
343	2990	5702
344	2998	5693
345	3007	5684
